precision,recall,f1-score,support,learning_rate,learning_schedule,inserted,deleted,subbed,back_translated,swapped
0.6222222222222222,0.4357976653696498,0.5125858123569794,257.0,1e-05,linear,False,False,False,False,False
0.5384615384615384,0.5175097276264592,0.5277777777777778,257.0,1e-05,linear,True,False,False,False,False
0.4854368932038835,0.5836575875486382,0.5300353356890459,257.0,1e-05,linear,False,False,True,False,False
0.48936170212765956,0.4474708171206226,0.46747967479674796,257.0,1e-05,linear,False,False,False,True,False
0.5057034220532319,0.5175097276264592,0.5115384615384615,257.0,1e-05,linear,False,True,False,False,False
0.5016835016835017,0.5797665369649806,0.5379061371841155,257.0,1e-05,linear,False,False,False,False,True
0.5982142857142857,0.5214007782101168,0.5571725571725572,257.0,1e-05,constant,False,False,False,False,False
0.5454545454545454,0.5369649805447471,0.5411764705882353,257.0,1e-05,constant,True,False,False,False,False
0.5401785714285714,0.4708171206225681,0.5031185031185031,257.0,1e-05,constant,False,False,True,False,False
0.4843205574912892,0.5408560311284046,0.5110294117647058,257.0,1e-05,constant,False,False,False,True,False
0.5454545454545454,0.5136186770428015,0.5290581162324649,257.0,1e-05,constant,False,True,False,False,False
0.5433070866141733,0.5369649805447471,0.5401174168297456,257.0,1e-05,constant,False,False,False,False,True
0.5852534562211982,0.49416342412451364,0.5358649789029536,257.0,5e-05,linear,False,False,False,False,False
0.5991189427312775,0.5291828793774319,0.5619834710743802,257.0,5e-05,linear,True,False,False,False,False
0.45014245014245013,0.6147859922178989,0.5197368421052632,257.0,5e-05,linear,False,False,True,False,False
0.6071428571428571,0.46303501945525294,0.5253863134657837,257.0,5e-05,linear,False,False,False,True,False
0.41309255079006774,0.7120622568093385,0.5228571428571429,257.0,5e-05,linear,False,True,False,False,False
0.5555555555555556,0.5642023346303502,0.5598455598455598,257.0,5e-05,linear,False,False,False,False,True
0.47619047619047616,0.622568093385214,0.5396290050590219,257.0,5e-05,constant,False,False,False,False,False
0.5922330097087378,0.47470817120622566,0.5269978401727862,257.0,5e-05,constant,True,False,False,False,False
0.5695067264573991,0.49416342412451364,0.5291666666666667,257.0,5e-05,constant,False,False,True,False,False
0.5260663507109005,0.43190661478599224,0.47435897435897434,257.0,5e-05,constant,False,False,False,True,False
0.47023809523809523,0.6147859922178989,0.5328836424957841,257.0,5e-05,constant,False,True,False,False,False
0.4642857142857143,0.6070038910505836,0.5261382799325464,257.0,5e-05,constant,False,False,False,False,True
