precision,recall,f1-score,support,learning_rate,learning_schedule,inserted,deleted,subbed,back_translated,swapped
0.6170212765957447,0.5642023346303502,0.5894308943089431,257.0,1e-05,linear,False,False,False,False,False
0.5521885521885522,0.6381322957198443,0.592057761732852,257.0,1e-05,linear,True,False,False,False,False
0.5893536121673004,0.603112840466926,0.5961538461538461,257.0,1e-05,linear,False,False,True,False,False
0.625,0.4474708171206226,0.5215419501133787,257.0,1e-05,linear,False,False,False,True,False
0.5311475409836065,0.6303501945525292,0.5765124555160143,257.0,1e-05,linear,False,True,False,False,False
0.5337837837837838,0.6147859922178989,0.5714285714285714,257.0,1e-05,linear,False,False,False,False,True
0.5791505791505791,0.5836575875486382,0.5813953488372093,257.0,1e-05,constant,False,False,False,False,False
0.583969465648855,0.5953307392996109,0.5895953757225434,257.0,1e-05,constant,True,False,False,False,False
0.5703703703703704,0.5992217898832685,0.5844402277039848,257.0,1e-05,constant,False,False,True,False,False
0.576036866359447,0.48638132295719844,0.5274261603375527,257.0,1e-05,constant,False,False,False,True,False
0.521875,0.6498054474708171,0.5788561525129983,257.0,1e-05,constant,False,True,False,False,False
0.5460750853242321,0.622568093385214,0.5818181818181818,257.0,1e-05,constant,False,False,False,False,True
0.5694444444444444,0.6381322957198443,0.6018348623853211,257.0,5e-05,linear,False,False,False,False,False
0.5785714285714286,0.6303501945525292,0.6033519553072626,257.0,5e-05,linear,True,False,False,False,False
0.5779467680608364,0.5914396887159533,0.5846153846153846,257.0,5e-05,linear,False,False,True,False,False
0.4594594594594595,0.5953307392996109,0.5186440677966102,257.0,5e-05,linear,False,False,False,True,False
0.4331065759637188,0.7431906614785992,0.5472779369627507,257.0,5e-05,linear,False,True,False,False,False
0.5398550724637681,0.5797665369649806,0.5590994371482176,257.0,5e-05,linear,False,False,False,False,True
0.5347222222222222,0.5992217898832685,0.5651376146788991,257.0,5e-05,constant,False,False,False,False,False
0.5251572327044025,0.6498054474708171,0.5808695652173913,257.0,5e-05,constant,True,False,False,False,False
0.5460992907801419,0.5992217898832685,0.5714285714285714,257.0,5e-05,constant,False,False,True,False,False
0.40522875816993464,0.7237354085603113,0.5195530726256983,257.0,5e-05,constant,False,False,False,True,False
0.6190476190476191,0.556420233463035,0.5860655737704918,257.0,5e-05,constant,False,True,False,False,False
0.5965665236051502,0.5408560311284046,0.5673469387755102,257.0,5e-05,constant,False,False,False,False,True
