precision,recall,f1-score,support,learning_rate,learning_schedule,inserted,deleted,subbed,back_translated,swapped
0.5829596412556054,0.5058365758754864,0.5416666666666666,257.0,1e-05,linear,False,False,False,False,False
0.5035460992907801,0.5525291828793775,0.5269016697588126,257.0,1e-05,linear,True,False,False,False,False
0.5714285714285714,0.5447470817120622,0.5577689243027888,257.0,1e-05,linear,False,False,True,False,False
0.4605678233438486,0.5680933852140078,0.5087108013937283,257.0,1e-05,linear,False,False,False,True,False
0.6162162162162163,0.44357976653696496,0.5158371040723982,257.0,1e-05,linear,False,True,False,False,False
0.6271186440677966,0.43190661478599224,0.511520737327189,257.0,1e-05,linear,False,False,False,False,True
0.5550847457627118,0.5097276264591439,0.5314401622718052,257.0,1e-05,constant,False,False,False,False,False
0.515358361774744,0.5875486381322957,0.5490909090909091,257.0,1e-05,constant,True,False,False,False,False
0.48333333333333334,0.5642023346303502,0.5206463195691203,257.0,1e-05,constant,False,False,True,False,False
0.6441717791411042,0.4085603112840467,0.5,257.0,1e-05,constant,False,False,False,True,False
0.6080402010050251,0.4708171206225681,0.5307017543859649,257.0,1e-05,constant,False,True,False,False,False
0.5796460176991151,0.5097276264591439,0.5424430641821946,257.0,1e-05,constant,False,False,False,False,True
0.524904214559387,0.5330739299610895,0.528957528957529,257.0,5e-05,linear,False,False,False,False,False
0.4461942257217848,0.6614785992217899,0.5329153605015674,257.0,5e-05,linear,True,False,False,False,False
0.4808259587020649,0.6342412451361867,0.5469798657718121,257.0,5e-05,linear,False,False,True,False,False
0.582010582010582,0.4280155642023346,0.49327354260089684,257.0,5e-05,linear,False,False,False,True,False
0.5343511450381679,0.5447470817120622,0.5394990366088632,257.0,5e-05,linear,False,True,False,False,False
0.47604790419161674,0.6186770428015564,0.5380710659898477,257.0,5e-05,linear,False,False,False,False,True
0.5525114155251142,0.4708171206225681,0.5084033613445378,257.0,5e-05,constant,False,False,False,False,False
0.5218855218855218,0.603112840466926,0.5595667870036101,257.0,5e-05,constant,True,False,False,False,False
0.41935483870967744,0.6575875486381323,0.5121212121212121,257.0,5e-05,constant,False,False,True,False,False
0.5046296296296297,0.42412451361867703,0.4608879492600423,257.0,5e-05,constant,False,False,False,True,False
0.5904255319148937,0.43190661478599224,0.49887640449438203,257.0,5e-05,constant,False,True,False,False,False
0.5155038759689923,0.5175097276264592,0.516504854368932,257.0,5e-05,constant,False,False,False,False,True
